fecha,inpc
ene-05,58.30916037
feb-05,58.50343099
mar-05,58.76712098
abr-05,58.97641519
may-05,58.82825146
jun-05,58.77178347
jul-05,59.00179988
ago-05,59.07225536
sep-05,59.30900649
oct-05,59.45457994
nov-05,59.88249335
dic-05,60.25031239
ene-06,60.60362589
feb-06,60.69635773
mar-06,60.77251181
abr-06,60.86161727
may-06,60.59067451
jun-06,60.64299806
jul-06,60.80929371
ago-06,61.11960865
sep-06,61.73661213
oct-06,62.00651878
nov-06,62.3318573
dic-06,62.69242357
ene-07,63.01620793
feb-07,63.19234663
mar-07,63.32911314
abr-07,63.29129513
may-07,62.98253436
jun-07,63.05817039
jul-07,63.32600481
ago-07,63.58399619
sep-07,64.07770259
oct-07,64.32740509
nov-07,64.78122126
dic-07,65.04905568
ene-08,65.35056368
feb-08,65.5448343
mar-08,66.01989072
abr-08,66.17012666
may-08,66.09863507
jun-08,66.3721681
jul-08,66.74205936
ago-08,67.12749227
sep-08,67.58493481
oct-08,68.04548569
nov-08,68.81894178
dic-08,69.29555236
ene-09,69.45614941
feb-09,69.60949368
mar-09,70.00995018
abr-09,70.25499019
may-09,70.05035847
jun-09,70.17935416
jul-09,70.37051645
ago-09,70.53888432
sep-09,70.89271587
oct-09,71.10719063
nov-09,71.47604578
dic-09,71.77185517
ene-10,72.55204598
feb-10,72.97167051
mar-10,73.48972549
abr-10,73.25556464
may-10,72.79397765
jun-10,72.77118323
jul-10,72.92919
ago-10,73.1317495
sep-10,73.51511019
oct-10,73.96892635
nov-10,74.56158125
dic-10,74.93095445
ene-11,75.29599135
feb-11,75.57846024
mar-11,75.72345093
abr-11,75.71744095
may-11,75.15926438
jun-11,75.15550814
jul-11,75.51610674
ago-11,75.63555502
sep-11,75.82111305
oct-11,76.3327123
nov-11,77.15833283
dic-11,77.79238536
ene-12,78.34304946
feb-12,78.50231384
mar-12,78.54738867
abr-12,78.30097963
may-12,78.05381934
jun-12,78.41366669
jul-12,78.85389747
ago-12,79.0905403
sep-12,79.43911894
oct-12,79.84103612
nov-12,80.3834365
dic-12,80.56824328
ene-13,80.89278202
feb-13,81.29094297
mar-13,81.88743314
abr-13,81.94152293
may-13,81.66882024
jun-13,81.61923793
jul-13,81.59219304
ago-13,81.82432839
sep-13,82.13233968
oct-13,82.52298816
nov-13,83.29226516
dic-13,83.7700583
ene-14,84.51905163
feb-14,84.73315704
mar-14,84.96529239
abr-14,84.80677925
may-14,84.53557906
jun-14,84.68207224
jul-14,84.91495883
ago-14,85.21996514
sep-14,85.59633992
oct-14,86.06962558
nov-14,86.76377787
dic-14,87.18898371
ene-15,87.11010277
feb-15,87.27537713
mar-15,87.63071699
abr-15,87.40384038
may-15,86.96736583
jun-15,87.11310776
jul-15,87.24081976
ago-15,87.42487529
sep-15,87.75241902
oct-15,88.2039185
nov-15,88.68546788
dic-15,89.04681772
ene-16,89.38638139
feb-16,89.77778112
mar-16,89.9100006
abr-16,89.62527796
may-16,89.22561452
jun-16,89.32402789
jul-16,89.55691448
ago-16,89.80933349
sep-16,90.35774385
oct-16,90.90615422
nov-16,91.61683394
dic-16,92.0390348
ene-17,93.60388244
feb-17,94.14478034
mar-17,94.72248933
abr-17,94.83893263
may-17,94.72549432
jun-17,94.96363964
jul-17,95.32273574
ago-17,95.79376765
sep-17,96.09351524
oct-17,96.69826913
nov-17,97.69517399
dic-17,98.27288299
ene-18,98.7949997
feb-18,99.17137448
mar-18,99.49215698
abr-18,99.15484705
may-18,98.99408017
jun-18,99.37646493
jul-18,99.9090991
ago-18,100.492
sep-18,100.917
oct-18,101.44
nov-18,102.303
dic-18,103.02
